player_id,player_name,team,position,games_played,toi_seconds,goals,assists,points,shots,hits,blocks,plus_minus,pim,fow,fol,fo_pct,GF,xG_For,Shots_For,HDC_For,Blocks_For,Hits_For,Corsi_For,OZ_Shots_For,NZ_Shots_For,DZ_Shots_For,Rush_Shots_For,ENtoS_For,EXtoEN_For,Giveaways_For,Takeaways_For,Lateral_Move_For,Longitudinal_Move_For,GameScore_For,GA,xG_Against,Shots_Against,HDC_Against,Blocks_Against,Hits_Against,Corsi_Against,OZ_Shots_Against,NZ_Shots_Against,DZ_Shots_Against,Rush_Shots_Against,ENtoS_Against,EXtoEN_Against,Giveaways_Against,Takeaways_Against,Lateral_Move_Against,Longitudinal_Move_Against,GameScore_Against,Corsi_Pct,xG_Pct
8470613,B. Burns,COL,D,54,1171.72,0.17,0.31,0.48,2.13,0.2,1.13,0.5,0.33,0.0,0.0,0.0,3.85,0.13,2.13,0.17,1.13,0.2,4.83,2.0,0.02,0.11,0.0,0.76,0.06,1.24,0.24,15.84,17.34,0.4,2.52,2.34,26.98,5.67,15.06,20.59,53.78,25.5,0.94,0.54,0.0,10.67,1.17,0.0,0.0,20.69,27.24,0.0,8.49,5.53
8470621,C. Perry,LAK,F,43,850.05,0.26,0.4,0.65,1.77,0.42,0.3,0.12,0.98,0.0,0.0,0.0,2.72,0.16,1.81,0.49,0.3,0.42,3.42,1.72,0.07,0.02,0.0,0.63,0.02,0.81,0.12,8.23,14.81,0.52,2.6,2.42,27.47,5.91,15.4,19.02,54.56,25.74,1.12,0.6,0.0,10.42,1.05,0.0,0.0,21.55,32.06,0.0,6.04,6.41
8471214,A. Ovechkin,WSH,F,57,1079.04,0.39,0.44,0.82,2.77,1.67,0.18,0.07,0.28,0.0,0.0,0.0,3.21,0.21,2.77,0.61,0.18,1.67,6.19,2.68,0.02,0.07,0.0,1.05,0.02,0.88,0.11,13.74,14.09,0.73,3.0,2.56,28.72,6.39,16.91,18.89,57.72,27.35,0.79,0.58,0.0,11.47,1.07,0.0,0.0,19.85,28.67,0.0,10.05,8.01
8471215,E. Malkin,PIT,F,39,1053.33,0.33,0.77,1.1,2.54,0.38,0.36,0.38,0.72,0.0,0.0,0.0,3.36,0.23,2.56,0.74,0.36,0.38,4.0,2.49,0.08,0.0,0.0,0.67,0.03,1.62,0.46,8.34,15.46,0.81,2.69,2.17,28.31,5.38,16.56,22.13,57.0,27.18,0.74,0.38,0.0,11.08,1.08,0.0,0.0,20.28,28.91,0.0,6.81,10.02
8471675,S. Crosby,PIT,F,54,1176.13,0.5,0.57,1.07,2.28,0.87,0.43,0.0,0.63,0.0,0.0,0.0,3.39,0.24,2.39,0.85,0.43,0.87,3.78,2.24,0.09,0.06,0.0,0.72,0.0,1.11,0.39,10.46,20.71,0.86,3.0,2.15,27.78,5.52,16.46,21.09,56.43,26.7,0.74,0.33,0.0,11.06,1.07,0.0,0.0,20.92,28.91,0.0,6.43,10.23
8471685,A. Kopitar,LAK,F,39,1106.08,0.15,0.38,0.54,1.28,0.56,0.92,0.28,0.21,0.0,0.0,0.0,2.72,0.1,1.31,0.28,0.92,0.56,2.87,1.31,0.0,0.0,0.0,0.62,0.03,0.9,0.28,4.95,7.84,0.43,2.74,2.36,27.51,5.95,15.44,20.23,54.69,25.87,1.03,0.62,0.0,10.38,0.97,0.0,0.0,21.48,32.26,0.0,5.15,4.43
8471724,K. Letang,PIT,D,50,1325.76,0.06,0.44,0.5,1.62,1.34,1.28,0.06,0.44,0.0,0.0,0.0,3.3,0.13,1.64,0.1,1.28,1.34,3.88,1.4,0.06,0.18,0.0,0.68,0.0,1.46,0.34,11.83,13.2,0.39,3.02,2.17,27.96,5.54,16.54,21.02,56.64,26.86,0.78,0.32,0.0,10.9,1.08,0.0,0.0,20.72,28.41,0.0,6.5,5.79
8471734,J. Quick,NYR,G,50,1276.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,3.28,2.47,9.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471817,R. Reaves,SJS,F,46,478.24,0.07,0.0,0.07,0.5,3.09,0.33,-0.26,0.7,0.0,0.0,0.0,3.24,0.05,0.5,0.13,0.33,3.09,1.11,0.46,0.04,0.0,0.0,0.33,0.04,0.37,0.15,4.73,6.45,0.14,3.57,2.23,30.67,5.89,16.76,17.39,58.52,29.2,0.76,0.72,0.0,11.57,1.09,0.0,0.0,19.17,23.62,0.0,1.94,2.4
8473419,B. Marchand,FLA,F,45,1101.33,0.56,0.56,1.11,2.82,0.76,0.36,-0.27,0.76,0.0,0.0,0.0,3.2,0.21,2.84,0.76,0.36,0.76,5.22,2.71,0.09,0.04,0.0,1.2,0.02,1.11,0.29,12.03,23.69,0.92,3.2,2.32,26.53,6.38,13.71,19.96,51.29,24.84,1.07,0.62,0.0,10.16,1.18,0.0,0.0,20.58,26.46,0.0,9.52,8.24
