Date,Period,Opponent,Venue,Result,GF,GA,Blocks_Against,Blocks_For,Corsi%_Against,Corsi%_For,DZ_Shots_Against,DZ_Shots_For,ENtoS_Against,ENtoS_For,EXtoEN_Against,EXtoEN_For,GameScore_Against,GameScore_For,Giveaways_Against,Giveaways_For,HDC_Against,HDC_For,Hits_Against,Hits_For,Lateral_Move_Against,Lateral_Move_For,Longitudinal_Move_Against,Longitudinal_Move_For,NZ_Shots_Against,NZ_Shots_For,OZ_Shots_Against,OZ_Shots_For,Rush_Shots_Against,Rush_Shots_For,Shots_Against,Shots_For,Takeaways_Against,Takeaways_For,WinProb,xG_Against,xG_For
2026-01-01,Post-Jan 1,DET,Home,W,4,3,21.0,20.0,48.48,51.52,0.0,3.0,13.0,7.0,1.0,0.0,7.75,7.1,11.0,11.0,5.0,5.0,21.0,15.0,18.62,19.73,15.62,18.73,2.0,1.0,25.0,27.0,16.0,11.0,27.0,31.0,4.0,4.0,0.0,2.14,2.69
2026-01-03,Post-Jan 1,DET,Away,W,4,1,14.0,14.0,36.62,63.38,0.0,1.0,9.0,12.0,1.0,2.0,2.9,7.8,19.0,16.0,2.0,6.0,21.0,20.0,24.17,15.73,18.5,19.91,0.0,3.0,12.0,27.0,6.0,11.0,12.0,31.0,2.0,8.0,0.0,1.17,2.24
2026-01-04,Post-Jan 1,CBJ,Away,W,5,4,16.0,25.0,37.61,62.39,0.0,0.0,14.0,17.0,0.0,0.0,6.7,11.15,21.0,14.0,6.0,11.0,22.0,14.0,27.0,20.87,34.5,15.07,0.0,2.0,25.0,41.0,12.0,15.0,25.0,43.0,7.0,5.0,0.0,2.65,3.01
2026-01-08,Post-Jan 1,NJD,Home,W,4,1,16.0,20.0,47.87,52.13,0.0,0.0,11.0,11.0,2.0,1.0,4.5,8.1,20.0,23.0,2.0,9.0,25.0,10.0,19.88,23.0,18.65,22.08,1.0,1.0,28.0,28.0,17.0,12.0,29.0,29.0,6.0,5.0,0.0,1.5,2.96
2026-01-10,Post-Jan 1,CGY,Home,L,1,2,17.0,20.0,46.67,53.33,2.0,0.0,10.0,12.0,1.0,1.0,5.35,4.8,14.0,15.0,2.0,6.0,17.0,15.0,22.75,13.12,45.0,18.75,0.0,2.0,23.0,26.0,8.0,8.0,25.0,28.0,3.0,1.0,0.0,1.31,2.65
2026-01-11,Post-Jan 1,BOS,Away,L,0,1,19.0,19.0,45.24,54.76,0.0,0.0,9.0,12.0,1.0,2.0,4.65,2.85,16.0,16.0,5.0,7.0,15.0,18.0,23.9,10.18,24.1,18.73,1.0,0.0,18.0,27.0,10.0,11.0,19.0,27.0,6.0,3.0,0.0,2.32,2.7
2026-01-13,Post-Jan 1,TBL,Home,L,1,2,16.0,9.0,56.82,43.18,1.0,0.0,8.0,9.0,3.0,1.0,5.3,7.25,18.0,15.0,8.0,6.0,15.0,13.0,26.64,18.33,53.93,52.58,2.0,1.0,31.0,28.0,14.0,12.0,34.0,29.0,4.0,9.0,0.0,2.14,2.42
2026-01-15,Post-Jan 1,PHI,Home,W,6,3,16.0,11.0,54.95,45.05,1.0,1.0,13.0,13.0,3.0,1.0,7.2,9.55,11.0,14.0,8.0,10.0,22.0,20.0,13.45,17.25,17.9,16.75,2.0,2.0,31.0,27.0,21.0,8.0,34.0,30.0,3.0,7.0,0.0,3.28,2.99
2026-01-17,Post-Jan 1,CBJ,Home,L,3,4,16.0,24.0,43.4,56.6,2.0,0.0,12.0,15.0,2.0,0.0,8.6,9.0,13.0,14.0,6.0,11.0,24.0,17.0,23.94,16.43,51.06,36.81,0.0,0.0,28.0,36.0,16.0,21.0,30.0,36.0,10.0,3.0,0.0,2.02,3.97
2026-01-19,Post-Jan 1,SEA,Away,W,6,3,10.0,16.0,40.74,59.26,0.0,2.0,4.0,19.0,1.0,0.0,5.8,10.0,17.0,18.0,7.0,12.0,20.0,23.0,18.0,17.0,19.36,26.14,0.0,1.0,23.0,29.0,11.0,14.0,23.0,32.0,3.0,6.0,0.0,2.12,3.02
2026-01-21,Post-Jan 1,CGY,Away,W,4,1,19.0,12.0,50.67,49.33,0.0,0.0,11.0,9.0,1.0,1.0,3.85,7.1,16.0,16.0,2.0,6.0,24.0,17.0,25.91,16.12,21.45,24.12,0.0,1.0,19.0,24.0,11.0,8.0,19.0,25.0,3.0,6.0,0.0,1.88,2.29
2026-01-22,Post-Jan 1,EDM,Away,W,6,2,12.0,10.0,57.14,42.86,0.0,0.0,13.0,10.0,0.0,1.0,5.8,8.8,17.0,17.0,8.0,10.0,20.0,13.0,31.75,17.0,76.0,13.4,1.0,2.0,31.0,21.0,3.0,5.0,32.0,23.0,3.0,4.0,0.0,2.27,1.96
2026-01-25,Post-Jan 1,VAN,Away,W,3,2,16.0,14.0,55.17,44.83,1.0,0.0,13.0,8.0,1.0,0.0,6.4,5.8,16.0,18.0,4.0,6.0,25.0,27.0,12.79,24.5,15.2,18.5,0.0,0.0,31.0,25.0,20.0,8.0,32.0,25.0,7.0,2.0,0.0,2.42,2.21
2026-01-29,Post-Jan 1,CHI,Home,W,6,2,14.0,18.0,35.05,64.95,0.0,0.0,6.0,12.0,0.0,3.0,4.9,11.2,17.0,17.0,3.0,14.0,13.0,18.0,15.0,10.95,18.93,16.7,0.0,1.0,20.0,44.0,14.0,20.0,20.0,45.0,4.0,8.0,0.0,1.33,3.66
2026-01-31,Post-Jan 1,NYR,Home,W,6,5,14.0,12.0,42.5,57.5,2.0,1.0,13.0,7.0,2.0,0.0,7.3,10.4,12.0,12.0,5.0,12.0,26.0,16.0,15.75,20.56,17.64,13.62,0.0,0.0,18.0,33.0,11.0,8.0,20.0,34.0,2.0,5.0,0.0,1.09,3.45
2026-02-02,Post-Jan 1,OTT,Home,L,2,3,17.0,13.0,62.34,37.66,0.0,0.0,15.0,9.0,1.0,0.0,7.75,3.45,12.0,18.0,6.0,6.0,18.0,25.0,19.86,10.75,25.14,16.12,0.0,0.0,31.0,16.0,14.0,8.0,31.0,16.0,8.0,6.0,0.0,2.53,2.6
