Date,Period,Opponent,Venue,Result,GF,GA,xGF,xGA,xG_Diff,SF,SA,HDC_For,HDC_Against,Corsi%,GameScore,WinProb
2025-10-01,Pre-Jan 1,BUF,Away,W,5,3,0.0,0.0,0.0,26.0,31.0,0.0,0.0,50.0,0.0,0.67
2025-10-03,Pre-Jan 1,BUF,Home,W,5,4,0.0,0.0,0.0,30.0,32.0,0.0,0.0,50.0,0.0,0.4
2025-10-07,Pre-Jan 1,NYR,Away,W,3,0,0.0,0.0,0.0,,,,,0.0,0.0,0.54
2025-10-09,Pre-Jan 1,NYI,Home,W,4,3,0.0,0.0,0.0,,,,,0.0,0.0,0.52
2025-10-11,Pre-Jan 1,NYR,Home,L,1,6,0.0,0.0,0.0,,,,,0.0,0.0,0.49
2025-10-14,Pre-Jan 1,ANA,Away,L,3,4,0.0,0.0,0.0,,,,,0.0,0.0,0.5
2025-10-16,Pre-Jan 1,LAK,Away,W,4,2,0.0,0.0,0.0,,,,,0.0,0.0,0.49
2025-10-18,Pre-Jan 1,SJS,Away,W,3,0,0.0,0.0,0.0,27.0,31.0,0.0,0.0,50.0,0.0,0.6
2025-10-21,Pre-Jan 1,VAN,Home,W,5,1,0.0,0.0,0.0,26.0,24.0,0.0,0.0,50.0,0.0,0.33
2025-10-23,Pre-Jan 1,FLA,Away,W,5,3,0.0,0.0,0.0,17.0,37.0,0.0,0.0,50.0,0.0,0.67
2025-10-25,Pre-Jan 1,CBJ,Home,L,4,5,0.0,0.0,0.0,31.0,41.0,0.0,0.0,50.0,0.0,0.33
2025-10-27,Pre-Jan 1,STL,Home,W,6,3,0.0,0.0,0.0,26.0,28.0,0.0,0.0,50.0,0.0,0.33
2025-10-28,Pre-Jan 1,PHI,Away,L,2,3,0.0,0.0,0.0,26.0,34.0,0.0,0.0,50.0,0.0,0.67
2025-10-30,Pre-Jan 1,MIN,Away,W,4,1,0.0,0.0,0.0,34.0,27.0,0.0,0.0,50.0,0.0,0.67
2025-11-01,Pre-Jan 1,WPG,Away,L,2,5,0.0,0.0,0.0,30.0,34.0,0.0,0.0,50.0,0.0,0.67
2025-11-03,Pre-Jan 1,TOR,Away,L,3,4,0.0,0.0,0.0,37.0,20.0,0.0,0.0,50.0,0.0,0.67
2025-11-06,Pre-Jan 1,WSH,Home,W,5,3,0.0,0.0,0.0,31.0,30.0,0.0,0.0,50.0,0.0,0.33
2025-11-08,Pre-Jan 1,NJD,Away,L,1,2,0.0,0.0,0.0,34.0,24.0,0.0,0.0,50.0,0.0,0.67
2025-11-09,Pre-Jan 1,LAK,Home,L,2,3,0.0,0.0,0.0,33.0,27.0,0.0,0.0,50.0,0.0,0.33
2025-11-14,Pre-Jan 1,NSH,Away,L,1,2,0.0,0.0,0.0,17.0,30.0,0.0,0.0,50.0,0.0,0.49
2025-11-16,Pre-Jan 1,NSH,Home,W,4,0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,50.0,0.0,0.51
