Date,Period,Opponent,Venue,Result,GF,GA,Blocks_Against,Blocks_For,Corsi%_Against,Corsi%_For,DZ_Shots_Against,DZ_Shots_For,ENtoS_Against,ENtoS_For,EXtoEN_Against,EXtoEN_For,GameScore_Against,GameScore_For,Giveaways_Against,Giveaways_For,HDC_Against,HDC_For,Hits_Against,Hits_For,Lateral_Move_Against,Lateral_Move_For,Longitudinal_Move_Against,Longitudinal_Move_For,NZ_Shots_Against,NZ_Shots_For,OZ_Shots_Against,OZ_Shots_For,Rush_Shots_Against,Rush_Shots_For,Shots_Against,Shots_For,Takeaways_Against,Takeaways_For,WinProb,xG_Against,xG_For
2025-10-01,Pre-Jan 1,BUF,Away,W,5,3,20.0,14.0,56.04,43.96,1.0,0.0,17.0,13.0,1.0,0.0,7.3,8.1,9.0,6.0,10.0,7.0,19.0,16.0,14.8,9.6,9.5,16.67,2.0,1.0,28.0,25.0,10.0,6.0,31.0,26.0,0.0,0.0,0.67,3.79,1.76
2025-10-03,Pre-Jan 1,BUF,Home,W,5,4,16.0,15.0,51.61,48.39,0.0,0.0,12.0,14.0,0.0,2.0,8.2,8.55,11.0,21.0,7.0,9.0,17.0,28.0,32.64,23.47,25.08,12.87,1.0,1.0,31.0,29.0,12.0,15.0,32.0,30.0,3.0,0.0,0.4,2.39,2.77
2025-10-07,Pre-Jan 1,NYR,Away,W,3,0,22.0,20.0,47.96,52.04,1.0,1.0,14.0,4.0,4.0,1.0,3.8,6.9,17.0,19.0,1.0,10.0,34.0,22.0,19.33,26.83,24.58,13.9,1.0,0.0,23.0,30.0,12.0,10.0,25.0,31.0,4.0,1.0,0.54,2.04,3.26
2025-10-09,Pre-Jan 1,NYI,Home,W,4,3,20.0,15.0,57.0,43.0,0.0,1.0,13.0,12.0,2.0,0.0,6.0,9.25,16.0,22.0,5.0,9.0,22.0,23.0,17.91,13.47,14.42,15.67,1.0,3.0,36.0,24.0,12.0,15.0,37.0,28.0,4.0,6.0,0.52,2.07,3.15
2025-10-11,Pre-Jan 1,NYR,Home,L,1,6,22.0,12.0,62.65,37.35,1.0,0.0,9.0,9.0,1.0,1.0,10.1,3.5,19.0,18.0,7.0,4.0,30.0,14.0,13.45,5.25,11.64,23.5,1.0,0.0,28.0,19.0,11.0,6.0,30.0,19.0,8.0,6.0,0.49,2.35,2.68
2025-10-14,Pre-Jan 1,ANA,Away,L,3,4,26.0,17.0,53.33,46.67,0.0,2.0,15.0,9.0,0.0,0.0,8.5,5.35,14.0,12.0,5.0,6.0,25.0,16.0,21.23,20.0,13.85,37.0,0.0,0.0,22.0,23.0,13.0,7.0,22.0,25.0,1.0,3.0,0.5,2.73,2.47
2025-10-16,Pre-Jan 1,LAK,Away,W,4,2,17.0,10.0,57.65,42.35,0.0,0.0,18.0,4.0,2.0,4.0,6.05,7.1,16.0,15.0,5.0,11.0,23.0,13.0,24.62,15.62,27.46,25.69,0.0,4.0,32.0,22.0,13.0,13.0,32.0,26.0,3.0,0.0,0.49,2.0,2.95
2025-10-18,Pre-Jan 1,SJS,Away,W,3,0,21.0,15.0,55.32,44.68,0.0,1.0,9.0,9.0,0.0,1.0,4.35,6.25,16.0,20.0,4.0,4.0,25.0,11.0,23.42,19.5,29.0,28.1,1.0,1.0,30.0,25.0,12.0,10.0,31.0,27.0,5.0,4.0,0.6,2.85,1.52
2025-10-21,Pre-Jan 1,VAN,Home,W,5,1,20.0,23.0,47.31,52.69,0.0,0.0,10.0,8.0,0.0,0.0,4.0,9.15,19.0,17.0,1.0,7.0,26.0,18.0,20.75,12.92,24.67,14.08,1.0,1.0,23.0,25.0,9.0,13.0,24.0,26.0,2.0,4.0,0.33,2.29,3.04
2025-10-23,Pre-Jan 1,FLA,Away,W,5,3,20.0,9.0,68.67,31.33,0.0,0.0,13.0,7.0,0.0,2.0,7.9,6.95,10.0,13.0,5.0,5.0,26.0,18.0,22.06,9.38,26.58,17.5,0.0,1.0,37.0,16.0,19.0,8.0,37.0,17.0,4.0,9.0,0.67,2.7,1.86
2025-10-25,Pre-Jan 1,CBJ,Home,L,4,5,17.0,18.0,54.46,45.54,0.0,1.0,16.0,10.0,0.0,3.0,12.05,10.4,8.0,20.0,9.0,9.0,24.0,18.0,16.16,21.18,43.1,59.19,2.0,0.0,42.0,32.0,20.0,16.0,44.0,33.0,8.0,3.0,0.33,2.29,2.94
2025-10-27,Pre-Jan 1,STL,Home,W,6,3,21.0,13.0,55.68,44.32,0.0,1.0,13.0,9.0,2.0,0.0,7.45,8.65,15.0,31.0,6.0,6.0,17.0,9.0,17.81,22.0,16.56,27.82,0.0,1.0,28.0,24.0,16.0,11.0,28.0,26.0,2.0,4.0,0.33,2.0,2.28
2025-10-28,Pre-Jan 1,PHI,Away,L,2,3,14.0,16.0,53.12,46.88,1.0,0.0,12.0,11.0,0.0,1.0,8.4,6.7,15.0,19.0,9.0,8.0,20.0,15.0,20.31,28.18,49.0,32.91,1.0,0.0,35.0,29.0,16.0,11.0,37.0,29.0,1.0,5.0,0.67,2.75,2.83
2025-10-30,Pre-Jan 1,MIN,Away,W,4,1,17.0,11.0,49.44,50.56,0.0,1.0,9.0,5.0,2.0,4.0,5.15,7.35,19.0,12.0,4.0,7.0,23.0,23.0,16.82,17.15,22.64,29.0,1.0,2.0,26.0,31.0,11.0,13.0,27.0,34.0,4.0,5.0,0.67,2.13,2.21
2025-11-01,Pre-Jan 1,WPG,Away,L,2,5,16.0,16.0,52.08,47.92,0.0,0.0,12.0,12.0,3.0,1.0,9.6,5.4,14.0,13.0,8.0,10.0,29.0,18.0,17.07,17.16,34.36,17.72,2.0,1.0,32.0,29.0,14.0,18.0,34.0,30.0,5.0,6.0,0.67,2.2,3.45
2025-11-03,Pre-Jan 1,TOR,Away,L,3,4,6.0,26.0,29.21,70.79,0.0,1.0,12.0,9.0,1.0,0.0,5.9,8.4,22.0,18.0,5.0,6.0,35.0,9.0,21.17,20.85,8.83,26.31,2.0,2.0,18.0,34.0,6.0,13.0,20.0,37.0,5.0,5.0,0.67,0.85,3.31
2025-11-06,Pre-Jan 1,WSH,Home,W,5,3,17.0,16.0,50.0,50.0,0.0,4.0,12.0,13.0,1.0,1.0,6.45,9.3,17.0,18.0,5.0,6.0,27.0,10.0,15.12,15.88,26.41,18.25,1.0,1.0,29.0,26.0,17.0,8.0,30.0,31.0,6.0,5.0,0.33,2.65,2.67
2025-11-08,Pre-Jan 1,NJD,Away,L,1,2,14.0,23.0,40.4,59.6,1.0,4.0,8.0,13.0,1.0,0.0,6.5,5.55,11.0,13.0,6.0,3.0,22.0,19.0,18.67,18.38,86.5,52.88,0.0,0.0,25.0,32.0,6.0,8.0,26.0,36.0,6.0,3.0,0.67,2.82,2.37
2025-11-09,Pre-Jan 1,LAK,Home,L,2,3,18.0,10.0,51.14,48.86,0.0,1.0,7.0,8.0,0.0,2.0,7.0,5.4,15.0,16.0,6.0,10.0,9.0,19.0,25.0,15.64,38.67,17.71,0.0,2.0,27.0,30.0,6.0,14.0,27.0,33.0,3.0,2.0,0.33,1.76,2.96
2025-11-14,Pre-Jan 1,NSH,Away,L,1,2,18.0,10.0,64.0,36.0,0.0,0.0,10.0,7.0,0.0,1.0,5.7,3.4,21.0,13.0,4.0,1.0,17.0,10.0,21.82,18.2,55.7,29.5,1.0,0.0,29.0,17.0,10.0,6.0,30.0,17.0,3.0,7.0,0.49,2.51,1.42
2025-11-16,Pre-Jan 1,NSH,Home,W,4,0,16.0,11.0,52.86,47.14,0.0,1.0,13.0,4.0,2.0,1.0,3.7,5.95,20.0,10.0,1.0,5.0,27.0,15.0,19.67,18.33,22.2,14.57,1.0,1.0,20.0,20.0,10.0,7.0,21.0,22.0,7.0,4.0,0.51,1.49,1.57
2025-11-21,Pre-Jan 1,MIN,Home,L,0,5,14.0,15.0,50.72,49.28,0.0,0.0,6.0,14.0,0.0,2.0,8.0,2.45,18.0,22.0,6.0,3.0,20.0,9.0,22.25,16.0,31.0,13.5,1.0,0.0,20.0,19.0,12.0,6.0,21.0,19.0,7.0,5.0,0.0,1.95,2.23
2025-11-22,Pre-Jan 1,SEA,Home,L,2,3,14.0,13.0,43.75,56.25,0.0,0.0,6.0,11.0,0.0,0.0,5.4,6.25,15.0,20.0,4.0,5.0,22.0,16.0,22.12,15.54,18.12,24.0,0.0,1.0,21.0,31.0,8.0,13.0,21.0,32.0,5.0,2.0,0.0,1.49,3.35
2025-11-26,Pre-Jan 1,BUF,Home,W,4,2,11.0,16.0,54.55,45.45,2.0,0.0,8.0,7.0,0.0,2.0,5.45,6.9,15.0,14.0,4.0,5.0,21.0,17.0,21.73,30.0,20.36,42.33,1.0,1.0,28.0,18.0,11.0,3.0,31.0,19.0,8.0,6.0,0.0,1.95,1.68
2025-11-28,Pre-Jan 1,CBJ,Away,W,4,3,22.0,15.0,56.67,43.33,0.0,1.0,14.0,14.0,1.0,2.0,7.0,7.15,19.0,13.0,10.0,5.0,16.0,18.0,19.07,24.38,17.67,35.12,0.0,1.0,29.0,22.0,15.0,8.0,29.0,24.0,3.0,5.0,0.0,3.31,2.23
2025-11-29,Pre-Jan 1,TOR,Home,L,2,7,13.0,28.0,36.36,63.64,0.0,0.0,6.0,13.0,1.0,2.0,9.95,6.9,19.0,11.0,10.0,4.0,19.0,16.0,19.0,23.08,14.88,33.58,1.0,0.0,22.0,35.0,8.0,12.0,23.0,35.0,6.0,2.0,0.0,1.75,3.76
2025-12-01,Pre-Jan 1,PHI,Away,W,5,1,13.0,14.0,50.6,49.4,0.0,1.0,16.0,10.0,0.0,3.0,5.15,7.8,20.0,15.0,3.0,10.0,27.0,18.0,25.75,20.19,25.78,27.06,2.0,0.0,27.0,26.0,9.0,17.0,29.0,27.0,2.0,7.0,0.0,1.69,2.62
2025-12-04,Pre-Jan 1,TBL,Away,W,4,3,15.0,4.0,61.11,38.89,0.0,1.0,13.0,11.0,1.0,0.0,8.15,6.9,20.0,13.0,11.0,5.0,13.0,21.0,19.12,21.33,19.12,43.67,1.0,2.0,39.0,28.0,17.0,9.0,40.0,31.0,5.0,4.0,0.0,3.65,1.61
2025-12-07,Pre-Jan 1,DAL,Away,L,2,3,20.0,21.0,45.92,54.08,0.0,1.0,8.0,13.0,1.0,2.0,6.3,6.45,23.0,13.0,6.0,5.0,17.0,26.0,24.67,19.4,49.83,49.7,0.0,1.0,25.0,30.0,12.0,20.0,25.0,32.0,5.0,5.0,0.0,2.2,2.66
2025-12-09,Pre-Jan 1,ANA,Home,L,3,4,14.0,18.0,39.29,60.71,1.0,0.0,11.0,18.0,0.0,0.0,6.9,9.7,17.0,19.0,5.0,13.0,24.0,11.0,30.08,20.03,41.17,37.54,0.0,0.0,29.0,50.0,12.0,28.0,30.0,50.0,7.0,9.0,0.0,1.88,4.77
2025-12-11,Pre-Jan 1,MTL,Home,L,2,4,20.0,27.0,42.98,57.02,0.0,2.0,11.0,24.0,1.0,2.0,7.5,7.55,12.0,14.0,5.0,10.0,12.0,25.0,17.44,17.0,20.9,27.94,2.0,0.0,27.0,36.0,10.0,16.0,29.0,38.0,1.0,9.0,0.0,2.28,4.2
2025-12-13,Pre-Jan 1,SJS,Home,L,5,6,23.0,18.0,46.96,53.04,0.0,2.0,16.0,13.0,0.0,4.0,10.05,10.4,18.0,9.0,8.0,6.0,17.0,14.0,19.31,20.13,25.85,35.2,1.0,1.0,30.0,40.0,13.0,15.0,31.0,43.0,6.0,4.0,0.0,2.39,2.86
2025-12-14,Pre-Jan 1,UTA,Home,L,4,5,0.0,8.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,1.4,5.4,0.0,15.0,0.0,5.0,0.0,18.0,0.0,26.4,0.0,52.5,0.0,1.0,0.0,15.0,0.0,4.0,0.0,16.0,0.0,4.0,0.0,0.0,1.28
